id,requirements,scenario,negative_control,expected_result,phase,owner,execution_status,result
S08-T31,R14;R21,"Deadline und Budget über alle Stufen","Queue; Retry; Generierung oder Finalprüfung über Restbudget führen","Expliziter Fehler oder freigegebene Degradierung; keine unvalidierte Teilausgabe",G1_mock,08;07,blocked_G1,not_run
S08-T32,R06;R14,"Providerfehler und Retries abbilden","Timeout; Ratenlimit; Fehlerbody mit synthetischem Secret; ungültige Antwort","Begrenzte Retries; redigierter Fehler; kein ungeprüfter Providerwechsel",G1_mock,08;07,blocked_G1,not_run
S08-T33,R06;R16;R37,"Profile und Debugfilter anwenden","Öffentliches Debug anfordern; Kürzung entfernt notwendige Bedingung","Keine internen Felder; gekürzte Ausgabe erneut prüfen oder sicher ablehnen",G1_mock,08;02;09,blocked_G1,not_run
S08-T34,R06;R21,"Streaming vor Finalvalidierung sperren","Provider sendet früh geschützte Tokens oder scheitert am Schluss","Keine unvalidierten Inhaltsbytes; nur freigegebene inhaltsfreie Ereignisse",G1_mock,08;02;07,blocked_G1,not_run
S08-T35,R06;R21,"Trace und Usage ohne private Inhalte","Synthetische private Marker in Frage; Conversation; Evidence und Fehlerbody einsetzen","Keine Rohinhalte in Standardlogs; Wartezeiten und unbekannte Usage korrekt",G1_mock,08;02;07,blocked_G1,not_run
S08-T36,R33;R35;R37,"Facts plus Prosa und Hero-Karte gemeinsam liefern","Kartenfakt aus anderer Revision oder unmarkierte Modellhypothese einschleusen","Ein Release und dieselben Werte; Hypothesen nicht zu Fakten hochstufen",G1_mock,08;05;06;12,blocked_G1,not_run
S08-T37,R49;R52,"Replay- und Populationgrenzen ausweisen","Nicht unterstütztes Damagefeld; fehlendes n oder empirischen Siegtrend als Regel anbieten","Capabilities; Kohorte und Unsicherheit sichtbar; keine Nullwerte oder Kausalität erfinden",G1_mock,08;05;14,blocked_G1,not_run
S08-T38,R06;R40;R56,"Nur freigegebenen Knowledgeexport lesen","Stagingrelease oder Leserecht als Publikationsrecht behandeln","Kein unveröffentlichter Export und keine automatische Buildpublikation",G1_mock,08;03;09,blocked_G1,not_run
S08-T39,R02;R03;R16,"Legacyadressen im isolierten E2E sperren","Verbotene Adresse absichtlich kontaktieren und Sperrwirkung kontrollieren","Probe scheitert; anschließend erlaubter Rustpfad ohne Legacykontakt erfolgreich",G2_real,08;09;10,blocked_G1,not_run
S08-T40,R02;R35;R40;R49,"Echten öffentlichen und internen Pilot durchlaufen","Echte Pilotquellen; Delete; ACL und Konfliktfall innerhalb isolierter Umgebung","03–07 und erforderliche 12–14 integriert; kein Mock als echte Quelle zählen",G2_real,08;03;04;05;06;07;09;12;13;14,blocked_G1,not_run
S08-T41,R02;R16;R56;R58,"Consumer- und Funktionsparität prüfen","CLI; MCP; Web; Twitch; interne Agents; Discord und Buildconsumer auf Nebenpfade prüfen","Ein Kernel; gleiche Fakten; kein Consumerprovider oder stiller Funktionsverlust",G3_real,08;09;10,blocked_G1,not_run
S08-T42,R03;R04,"Keinen versteckten Python- oder Legacyfallback benötigen","Pythonruntime und alte Antwortdienste in isolierter Testumgebung nicht verfügbar machen","Nur erlaubte Rustpfade erforderlich; Nichtverfügbarkeit darf keinen Schattenpfad aktivieren",G2_real,08;09;11,blocked_G1,not_run
S08-T43,R14;R21;R59,"Admission; Cache und laufende Jobs begrenzen","Freigegebene Queue-; Cache- oder Parallelgrenzen überschreiten","Kontrollierter Backpressurestatus; keine unbegrenzten Jobs oder cross-tenant Verdrängung",G1_mock,08;02;07;10,blocked_G1,not_run
S08-T44,R08;R32;R53,"Zeitlich zulässige Evidenz verwenden","Später korrigierte Quelle für Wissen-bis-T mit früherer Spielgültigkeit liefern","Verfügbarkeitszeit und Spielgültigkeit getrennt; kein Zukunftswissen als damaliger Beleg",G1_mock,08;03;05;10,blocked_G1,not_run
